OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.686,ά,ἅ,proposed,
urn:cite:hmt:normalized.1682,ᾶ,ἆ,proposed,
urn:cite:hmt:normalized.2097,αάσατο,ἀάσατο,proposed,
urn:cite:hmt:normalized.570,ἀβλητα,ἀβλῆτα,proposed,
urn:cite:hmt:normalized.1741,αγάρροον,ἀγάρροον,proposed,
urn:cite:hmt:normalized.494,αγγείῳ,ἀγγείῳ,proposed,
urn:cite:hmt:normalized.1269,ἀγγίον,ἅγιον,proposed,
urn:cite:hmt:normalized.2274,ἀγε,ἄγε,proposed,
urn:cite:hmt:normalized.1167,αγε,ἄγε,proposed,
urn:cite:hmt:normalized.1750,άγεθ',ἄγεθ',proposed,
urn:cite:hmt:normalized.2,άγει,ἄγει,proposed,
urn:cite:hmt:normalized.2294,αγέλη,ἀγέλῃ,proposed,
urn:cite:hmt:normalized.694,άγεν,ἄγεν,proposed,
urn:cite:hmt:normalized.2257,ἀγερωχον,ἀγέρωχον,proposed,
urn:cite:hmt:normalized.473,ἀγκυλυμήτης,ἀγκυλομήτης,proposed,
urn:cite:hmt:normalized.2232,αγκῶν,ἀγκῶν’,proposed,
urn:cite:hmt:normalized.495,αγλαὰ,ἀγλαά,proposed,
urn:cite:hmt:normalized.2188,αγλαέ,ἀγλαέ,proposed,
urn:cite:hmt:normalized.2001,άγνοιαν,ἄγνοιαν,proposed,
urn:cite:hmt:normalized.1625,αγορεύειν,ἀγορεύειν,proposed,
urn:cite:hmt:normalized.70,αγορεύεις,ἀγορεύεις,proposed,
urn:cite:hmt:normalized.665,αγορευεν,ἀγόρευεν,proposed,
urn:cite:hmt:normalized.1678,ἀγορην,ἀγορὴν,proposed,
urn:cite:hmt:normalized.1462,άγουσι,ἄγουσι,proposed,
urn:cite:hmt:normalized.2087,αγρίω,ἀγρίῳ,proposed,
urn:cite:hmt:normalized.1548,αγρῶν,ἀγρῶν,proposed,
urn:cite:hmt:normalized.1278,αγωγὰ,ἀγωγά,proposed,
urn:cite:hmt:normalized.2254,αγῶνα,ἀγῶνα,proposed,
urn:cite:hmt:normalized.2280,αγῶνας,ἀγῶνας,proposed,
urn:cite:hmt:normalized.1443,αδελφικοῦ,ἀδελφικοῦ,proposed,
urn:cite:hmt:normalized.1726,ἀδελφος,ἀδελφὸς,proposed,
urn:cite:hmt:normalized.1001,ἀδηλον,ἄδηλον,proposed,
urn:cite:hmt:normalized.1405,αδελφοὶ,ἀδελφοὶ,proposed,
urn:cite:hmt:normalized.898,αδελφὸν,ἀδελφόν,proposed,
urn:cite:hmt:normalized.296,αδηκότες,ἀδηκότες,proposed,
urn:cite:hmt:normalized.2263,άδικα,ἄδικα,proposed,
urn:cite:hmt:normalized.1323,αδικεῖν,ἀδικεῖν,proposed,
urn:cite:hmt:normalized.1206,αδικιας,ἀδικίας,proposed,
urn:cite:hmt:normalized.1184,αδικος,ἄδικος,proposed,
urn:cite:hmt:normalized.1919,αδυσώπητον,ἀδυσώπητον,proposed,
urn:cite:hmt:normalized.2270,άεθλα,ἄεθλα,proposed,
urn:cite:hmt:normalized.445,ἀεκοντί,ἀέκοντι,proposed,
urn:cite:hmt:normalized.2110,ἀεκων,ἀέκων,proposed,
urn:cite:hmt:normalized.1671,ἀερος,ἀέρος,proposed,
urn:cite:hmt:normalized.1045,αζομένη,ἀζομένη,proposed,
urn:cite:hmt:normalized.2034,αηδῆ,ἀηδῆ,proposed,
urn:cite:hmt:normalized.1539,αθετεῖται,ἀθετεῖται,proposed,
urn:cite:hmt:normalized.859,αθετοῦνται,ἀθετοῦνται,proposed,
urn:cite:hmt:normalized.738,αι,αἱ,proposed,
urn:cite:hmt:normalized.94,αί,αἵ,proposed,
urn:cite:hmt:normalized.147,αῖαν,αἶαν,proposed,
urn:cite:hmt:normalized.239,αῖαν,αἶαν,proposed,
urn:cite:hmt:normalized.1129,αἱγίλιπος,αἰγίλιπος,proposed,
urn:cite:hmt:normalized.1156,αἱγίλιπος,αἰγίλιπος,proposed,
urn:cite:hmt:normalized.628,αιγὶς,αἰγίς,proposed,
urn:cite:hmt:normalized.2189,αιγὸς,αἰγὸς,proposed,
urn:cite:hmt:normalized.2207,αιδοὺς,αἰδοὺς,proposed,
urn:cite:hmt:normalized.302,ἀιεί,αἰεί,proposed,
